response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0028,0.0005,0.0000,0.0001,0.0020,0.0001,200,0.0054
0.0020,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0083
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0102
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0122
0.0246,0.0000,0.0000,0.0000,0.0244,0.0001,200,0.0140
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.0387
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0409
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0428
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0446
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.0466
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0487
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0507
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0526
0.0020,0.0000,0.0000,0.0001,0.0018,0.0001,200,0.0544
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.0564
0.0019,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0586
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0604
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0623
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0640
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.0658
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0681
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0698
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0716
0.0018,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0734
0.0021,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.0754
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0775
