response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0028,0.0006,0.0000,0.0001,0.0019,0.0001,200,0.0060
0.0032,0.0007,0.0000,0.0001,0.0022,0.0001,200,0.0060
0.0022,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.0088
0.0024,0.0000,0.0000,0.0000,0.0023,0.0001,200,0.0092
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0110
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0116
0.0633,0.0000,0.0000,0.0000,0.0632,0.0001,200,0.0129
0.0635,0.0000,0.0000,0.0000,0.0634,0.0001,200,0.0131
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.0762
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0766
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.0781
0.0018,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0782
0.0020,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0799
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.0800
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0819
0.0021,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.0820
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0839
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.0840
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0860
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0860
0.0019,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0880
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.0879
0.0024,0.0000,0.0000,0.0000,0.0023,0.0001,200,0.0900
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0900
0.0023,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.0924
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.0924
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0947
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.0947
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0964
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0969
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0984
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0985
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.1001
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1003
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1021
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1022
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.1041
0.0026,0.0000,0.0000,0.0001,0.0023,0.0001,200,0.1040
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1061
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1065
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.1080
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1082
0.0021,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.1100
0.0021,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.1101
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1121
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1122
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1140
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.1140
0.0016,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1162
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1160
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1180
0.0020,0.0000,0.0000,0.0001,0.0018,0.0001,200,0.1180
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.1200
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.1200
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1220
0.0018,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1220
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1239
0.0020,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1240
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1260
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1260
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1280
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1280
0.0021,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.1300
0.0022,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.1300
0.0018,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1320
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1321
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1340
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.1340
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1360
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1365
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.1380
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.1381
0.0021,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.1400
0.0021,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.1401
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1422
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1423
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1440
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.1441
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1460
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1461
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1480
0.0017,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1480
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1500
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1500
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1520
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1520
0.0028,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.1540
0.0032,0.0000,0.0000,0.0000,0.0030,0.0001,200,0.1540
0.0019,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1567
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1571
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.1587
