response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0032,0.0006,0.0000,0.0002,0.0022,0.0001,200,0.0062
0.0032,0.0005,0.0000,0.0001,0.0022,0.0001,200,0.0062
0.0032,0.0006,0.0000,0.0001,0.0024,0.0001,200,0.0062
0.0032,0.0005,0.0000,0.0001,0.0024,0.0001,200,0.0062
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0093
0.0020,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.0094
0.0021,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0095
0.0022,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.0094
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0113
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.0114
0.0019,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0116
0.0021,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0116
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0132
0.0018,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0132
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0136
0.0021,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.0150
0.0023,0.0000,0.0000,0.0000,0.0022,0.0001,200,0.0151
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.0154
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0171
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0174
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0176
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0188
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0192
0.0018,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0193
0.0091,0.0000,0.0000,0.0000,0.0090,0.0000,200,0.0204
0.0163,0.0000,0.0000,0.0000,0.0162,0.0000,200,0.0134
0.0099,0.0000,0.0000,0.0000,0.0097,0.0001,200,0.0211
0.0102,0.0000,0.0000,0.0000,0.0101,0.0000,200,0.0209
0.0019,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0295
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0298
0.0020,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0310
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0310
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.0318
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.0314
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.0329
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.0337
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.0331
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0339
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0351
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0353
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0356
0.0021,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.0356
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.0371
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0371
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0375
0.0021,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.0377
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0388
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0392
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.0388
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0398
0.0017,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0407
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0410
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0409
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0418
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0427
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0424
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0429
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.0435
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0442
0.0021,0.0000,0.0000,0.0001,0.0019,0.0001,200,0.0444
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0452
0.0026,0.0000,0.0000,0.0000,0.0025,0.0001,200,0.0443
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0462
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0465
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0468
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0469
0.0019,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0482
0.0018,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.0484
0.0023,0.0000,0.0000,0.0001,0.0021,0.0001,200,0.0482
0.0022,0.0000,0.0000,0.0001,0.0021,0.0000,200,0.0484
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0502
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0506
0.0019,0.0000,0.0000,0.0000,0.0016,0.0002,200,0.0506
0.0027,0.0000,0.0000,0.0000,0.0025,0.0000,200,0.0503
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0523
0.0016,0.0000,0.0000,0.0001,0.0014,0.0001,200,0.0525
0.0021,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.0522
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0529
0.0014,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.0542
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0542
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0543
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.0543
0.0013,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0562
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0562
0.0014,0.0000,0.0000,0.0001,0.0013,0.0001,200,0.0562
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.0564
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.0582
0.0014,0.0000,0.0000,0.0000,0.0012,0.0000,200,0.0582
0.0013,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.0583
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0582
0.0013,0.0000,0.0000,0.0000,0.0012,0.0000,200,0.0602
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.0602
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0602
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0603
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.0622
