response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0021,0.0004,0.0000,0.0001,0.0015,0.0001,200,0.0039
0.0022,0.0004,0.0000,0.0001,0.0015,0.0002,200,0.0039
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.0061
0.0972,0.0000,0.0000,0.0000,0.0971,0.0001,200,0.0061
0.0961,0.0000,0.0000,0.0000,0.0960,0.0000,200,0.0079
0.0011,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.1033
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.1041
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.1044
0.0012,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.1060
0.0013,0.0000,0.0000,0.0000,0.0012,0.0000,200,0.1060
0.0012,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.1080
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.1080
0.0011,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.1100
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.1100
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.1120
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.1120
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.1140
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.1140
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.1160
0.0012,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.1160
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.1180
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.1180
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.1200
0.0012,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.1200
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.1220
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.1220
0.0799,0.0000,0.0000,0.0000,0.0797,0.0001,200,0.1240
0.0799,0.0000,0.0000,0.0000,0.0798,0.0001,200,0.1240
0.0012,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.2039
0.0013,0.0000,0.0000,0.0000,0.0012,0.0000,200,0.2039
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.2052
0.0013,0.0000,0.0000,0.0000,0.0012,0.0000,200,0.2051
0.0015,0.0000,0.0000,0.0000,0.0011,0.0004,200,0.2064
0.0015,0.0000,0.0000,0.0000,0.0012,0.0002,200,0.2064
0.0011,0.0000,0.0000,0.0001,0.0007,0.0001,200,0.2079
0.0012,0.0000,0.0000,0.0002,0.0009,0.0000,200,0.2079
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.2100
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.2100
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.2120
