response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0302,0.0023,0.0000,0.0005,0.0269,0.0001,200,0.0039
0.0306,0.0024,0.0000,0.0001,0.0269,0.0001,200,0.0039
0.0293,0.0017,0.0000,0.0001,0.0275,0.0001,200,0.0060
0.0323,0.0010,0.0000,0.0006,0.0291,0.0001,200,0.0042
0.0306,0.0020,0.0000,0.0004,0.0281,0.0001,200,0.0060
0.0316,0.0008,0.0000,0.0002,0.0292,0.0001,200,0.0052
0.0313,0.0028,0.0000,0.0001,0.0282,0.0001,200,0.0057
0.0332,0.0026,0.0000,0.0001,0.0305,0.0000,200,0.0062
0.0354,0.0017,0.0000,0.0002,0.0318,0.0000,200,0.0043
0.0362,0.0036,0.0000,0.0000,0.0313,0.0001,200,0.0042
0.0339,0.0011,0.0000,0.0002,0.0325,0.0001,200,0.0065
0.0342,0.0011,0.0000,0.0002,0.0328,0.0000,200,0.0066
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0353
0.0364,0.0025,0.0000,0.0001,0.0336,0.0001,200,0.0058
0.0410,0.0014,0.0000,0.0005,0.0377,0.0001,200,0.0039
0.0405,0.0017,0.0000,0.0006,0.0373,0.0001,200,0.0046
0.0389,0.0013,0.0000,0.0004,0.0370,0.0001,200,0.0062
0.0389,0.0011,0.0000,0.0002,0.0374,0.0001,200,0.0062
0.0110,0.0000,0.0000,0.0000,0.0108,0.0001,200,0.0341
0.0403,0.0027,0.0000,0.0006,0.0367,0.0002,200,0.0050
0.0414,0.0036,0.0000,0.0001,0.0364,0.0001,200,0.0039
0.0398,0.0026,0.0000,0.0001,0.0371,0.0001,200,0.0058
0.0412,0.0031,0.0000,0.0003,0.0369,0.0000,200,0.0044
0.0406,0.0029,0.0000,0.0001,0.0375,0.0001,200,0.0050
0.0398,0.0011,0.0000,0.0001,0.0384,0.0001,200,0.0061
0.0698,0.0021,0.0000,0.0003,0.0671,0.0001,200,0.0054
0.0714,0.0032,0.0000,0.0002,0.0669,0.0000,200,0.0039
0.0715,0.0020,0.0000,0.0005,0.0682,0.0000,200,0.0039
0.0346,0.0000,0.0000,0.0000,0.0346,0.0000,200,0.0407
0.0357,0.0000,0.0000,0.0000,0.0356,0.0001,200,0.0397
0.0694,0.0025,0.0000,0.0001,0.0668,0.0001,200,0.0060
0.0313,0.0000,0.0000,0.0000,0.0312,0.0001,200,0.0452
0.0712,0.0020,0.0000,0.0004,0.0686,0.0001,200,0.0056
0.0360,0.0000,0.0000,0.0000,0.0359,0.0001,200,0.0408
0.0712,0.0024,0.0000,0.0001,0.0686,0.0000,200,0.0059
0.0716,0.0025,0.0000,0.0004,0.0686,0.0000,200,0.0055
0.0716,0.0018,0.0000,0.0001,0.0696,0.0000,200,0.0055
0.0321,0.0000,0.0000,0.0000,0.0319,0.0001,200,0.0451
0.0733,0.0027,0.0000,0.0004,0.0695,0.0001,200,0.0039
0.0315,0.0000,0.0000,0.0000,0.0314,0.0000,200,0.0459
0.0380,0.0000,0.0000,0.0000,0.0379,0.0001,200,0.0394
0.0325,0.0000,0.0000,0.0000,0.0324,0.0001,200,0.0450
0.0410,0.0000,0.0000,0.0000,0.0409,0.0000,200,0.0365
0.0323,0.0000,0.0000,0.0000,0.0322,0.0000,200,0.0453
0.0407,0.0000,0.0000,0.0000,0.0406,0.0000,200,0.0370
0.0409,0.0000,0.0000,0.0000,0.0408,0.0000,200,0.0368
0.0738,0.0027,0.0000,0.0003,0.0691,0.0000,200,0.0039
0.0374,0.0000,0.0000,0.0000,0.0373,0.0000,200,0.0404
0.0723,0.0024,0.0000,0.0004,0.0694,0.0001,200,0.0056
0.0358,0.0000,0.0000,0.0000,0.0356,0.0001,200,0.0422
0.0327,0.0000,0.0000,0.0000,0.0326,0.0001,200,0.0452
0.0379,0.0000,0.0000,0.0000,0.0377,0.0001,200,0.0404
0.0030,0.0000,0.0000,0.0000,0.0029,0.0001,200,0.0754
0.0418,0.0000,0.0000,0.0000,0.0417,0.0001,200,0.0366
0.0328,0.0000,0.0000,0.0000,0.0327,0.0000,200,0.0456
0.0727,0.0008,0.0000,0.0005,0.0713,0.0000,200,0.0059
0.0033,0.0000,0.0000,0.0000,0.0032,0.0001,200,0.0754
0.0442,0.0000,0.0000,0.0000,0.0442,0.0000,200,0.0346
0.0337,0.0000,0.0000,0.0000,0.0336,0.0001,200,0.0451
0.0749,0.0031,0.0000,0.0001,0.0703,0.0001,200,0.0040
0.0750,0.0023,0.0000,0.0001,0.0706,0.0000,200,0.0040
0.0339,0.0000,0.0000,0.0000,0.0338,0.0000,200,0.0451
0.0038,0.0000,0.0000,0.0000,0.0036,0.0001,200,0.0753
0.0341,0.0000,0.0000,0.0001,0.0340,0.0001,200,0.0455
0.0749,0.0034,0.0000,0.0003,0.0709,0.0000,200,0.0048
0.0045,0.0000,0.0000,0.0000,0.0044,0.0000,200,0.0754
0.0344,0.0000,0.0000,0.0000,0.0343,0.0000,200,0.0456
0.0741,0.0024,0.0000,0.0001,0.0715,0.0001,200,0.0059
0.0747,0.0026,0.0000,0.0001,0.0719,0.0001,200,0.0057
0.0062,0.0000,0.0000,0.0000,0.0060,0.0001,200,0.0753
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.0752
0.0049,0.0000,0.0000,0.0000,0.0048,0.0000,200,0.0768
0.0057,0.0000,0.0000,0.0000,0.0056,0.0001,200,0.0771
0.0054,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0775
0.0065,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.0765
0.0045,0.0000,0.0000,0.0000,0.0043,0.0001,200,0.0786
0.0057,0.0000,0.0000,0.0000,0.0056,0.0001,200,0.0774
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,200,0.0768
0.0052,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0780
0.0047,0.0000,0.0000,0.0000,0.0046,0.0000,200,0.0800
0.0049,0.0000,0.0000,0.0000,0.0047,0.0001,200,0.0800
0.0052,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0797
0.0071,0.0000,0.0000,0.0001,0.0069,0.0001,200,0.0779
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0776
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.0788
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.0788
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0784
0.0047,0.0000,0.0000,0.0000,0.0046,0.0000,200,0.0805
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.0775
0.0056,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0796
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.0784
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0779
0.0040,0.0000,0.0000,0.0000,0.0039,0.0000,200,0.0817
0.0074,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.0782
0.0026,0.0000,0.0000,0.0000,0.0025,0.0001,200,0.0831
0.0070,0.0000,0.0000,0.0001,0.0068,0.0001,200,0.0789
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.0790
0.0089,0.0000,0.0000,0.0000,0.0088,0.0000,200,0.0771
0.0083,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.0777
0.0550,0.0000,0.0000,0.0000,0.0549,0.0001,200,0.0789
0.0489,0.0000,0.0000,0.0000,0.0488,0.0001,200,0.0851
0.0489,0.0000,0.0000,0.0000,0.0488,0.0001,200,0.0851
0.0491,0.0000,0.0000,0.0000,0.0490,0.0001,200,0.0850
0.0525,0.0000,0.0000,0.0000,0.0524,0.0000,200,0.0816
0.0513,0.0000,0.0000,0.0001,0.0511,0.0001,200,0.0829
0.0493,0.0000,0.0000,0.0000,0.0492,0.0001,200,0.0849
0.0552,0.0000,0.0000,0.0000,0.0551,0.0000,200,0.0791
0.0566,0.0000,0.0000,0.0000,0.0565,0.0000,200,0.0777
0.0496,0.0000,0.0000,0.0000,0.0495,0.0001,200,0.0849
0.0574,0.0000,0.0000,0.0000,0.0573,0.0001,200,0.0772
0.0516,0.0000,0.0000,0.0000,0.0514,0.0001,200,0.0831
0.0576,0.0000,0.0000,0.0000,0.0575,0.0000,200,0.0771
0.0561,0.0000,0.0000,0.0000,0.0560,0.0000,200,0.0787
0.0502,0.0000,0.0000,0.0000,0.0501,0.0001,200,0.0847
0.0499,0.0000,0.0000,0.0000,0.0497,0.0000,200,0.0850
0.0519,0.0000,0.0000,0.0000,0.0518,0.0000,200,0.0830
0.0518,0.0000,0.0000,0.0000,0.0517,0.0000,200,0.0831
0.0572,0.0000,0.0000,0.0000,0.0570,0.0001,200,0.0777
0.0498,0.0000,0.0000,0.0000,0.0497,0.0000,200,0.0852
0.0517,0.0000,0.0000,0.0000,0.0516,0.0001,200,0.0850
0.0515,0.0000,0.0000,0.0000,0.0513,0.0001,200,0.0860
0.0601,0.0000,0.0000,0.0000,0.0600,0.0001,200,0.0774
0.0547,0.0000,0.0000,0.0000,0.0545,0.0001,200,0.0829
0.0604,0.0000,0.0000,0.0000,0.0603,0.0001,200,0.0772
0.0520,0.0000,0.0000,0.0000,0.0519,0.0000,200,0.0857
0.0520,0.0000,0.0000,0.0000,0.0518,0.0001,200,0.0857
0.0546,0.0000,0.0000,0.0000,0.0545,0.0001,200,0.0831
0.0518,0.0000,0.0000,0.0000,0.0516,0.0001,200,0.0860
0.0581,0.0000,0.0000,0.0000,0.0579,0.0001,200,0.0799
0.0521,0.0000,0.0000,0.0000,0.0520,0.0001,200,0.0859
0.0597,0.0000,0.0000,0.0000,0.0595,0.0001,200,0.0784
0.0607,0.0000,0.0000,0.0000,0.0606,0.0001,200,0.0779
0.0571,0.0000,0.0000,0.0000,0.0570,0.0000,200,0.0815
0.0053,0.0000,0.0000,0.0000,0.0052,0.0001,200,0.1349
0.0545,0.0000,0.0000,0.0000,0.0544,0.0001,200,0.0857
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.1343
0.0554,0.0000,0.0000,0.0000,0.0553,0.0000,200,0.0853
0.0555,0.0000,0.0000,0.0000,0.0554,0.0001,200,0.0852
0.0065,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1345
0.0061,0.0000,0.0000,0.0000,0.0060,0.0001,200,0.1349
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1349
0.0072,0.0000,0.0000,0.0001,0.0071,0.0000,200,0.1339
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1343
0.0074,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.1341
0.0078,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.1339
0.0072,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.1347
0.0573,0.0000,0.0000,0.0000,0.0572,0.0001,200,0.0858
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.1350
0.0578,0.0000,0.0000,0.0000,0.0577,0.0001,200,0.0855
0.0085,0.0000,0.0000,0.0000,0.0084,0.0001,200,0.1349
0.0088,0.0000,0.0000,0.0000,0.0087,0.0000,200,0.1346
0.0088,0.0000,0.0000,0.0000,0.0087,0.0000,200,0.1348
0.0094,0.0000,0.0000,0.0000,0.0092,0.0001,200,0.1342
0.0584,0.0000,0.0000,0.0000,0.0583,0.0001,200,0.0852
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.1347
0.0096,0.0000,0.0000,0.0000,0.0095,0.0001,200,0.1342
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,200,0.1381
0.0037,0.0000,0.0000,0.0000,0.0036,0.0001,200,0.1416
0.0047,0.0000,0.0000,0.0000,0.0046,0.0001,200,0.1407
0.0078,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.1377
0.0020,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1436
