response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0633,0.0014,0.0000,0.0001,0.0616,0.0001,200,0.0087
0.0642,0.0018,0.0000,0.0001,0.0622,0.0001,200,0.0090
0.0649,0.0017,0.0000,0.0000,0.0630,0.0001,200,0.0106
0.0680,0.0010,0.0000,0.0006,0.0646,0.0001,200,0.0092
0.0669,0.0016,0.0000,0.0001,0.0651,0.0001,200,0.0106
0.0676,0.0022,0.0000,0.0001,0.0651,0.0001,200,0.0100
0.0674,0.0018,0.0000,0.0001,0.0655,0.0000,200,0.0104
0.0674,0.0017,0.0000,0.0001,0.0655,0.0001,200,0.0105
0.0677,0.0009,0.0000,0.0000,0.0666,0.0001,200,0.0111
0.0688,0.0020,0.0000,0.0002,0.0665,0.0001,200,0.0102
0.0686,0.0016,0.0000,0.0001,0.0665,0.0002,200,0.0106
0.0709,0.0030,0.0000,0.0006,0.0667,0.0001,200,0.0083
0.0048,0.0000,0.0000,0.0000,0.0047,0.0001,200,0.0755
0.0721,0.0025,0.0000,0.0003,0.0690,0.0001,200,0.0083
0.0707,0.0024,0.0000,0.0000,0.0675,0.0001,200,0.0098
0.0716,0.0041,0.0000,0.0001,0.0674,0.0001,200,0.0090
0.0696,0.0007,0.0000,0.0000,0.0686,0.0001,200,0.0113
0.0104,0.0000,0.0000,0.0000,0.0103,0.0001,200,0.0720
0.0741,0.0022,0.0000,0.0004,0.0710,0.0001,200,0.0085
0.0730,0.0015,0.0000,0.0008,0.0700,0.0001,200,0.0097
0.0727,0.0015,0.0000,0.0008,0.0703,0.0001,200,0.0101
0.0740,0.0015,0.0000,0.0006,0.0708,0.0001,200,0.0089
0.0026,0.0000,0.0000,0.0000,0.0025,0.0001,200,0.0804
0.0744,0.0026,0.0000,0.0006,0.0705,0.0001,200,0.0087
0.0735,0.0017,0.0000,0.0007,0.0702,0.0002,200,0.0096
0.0724,0.0012,0.0000,0.0007,0.0704,0.0001,200,0.0107
0.0749,0.0028,0.0000,0.0006,0.0709,0.0002,200,0.0083
0.0102,0.0000,0.0000,0.0000,0.0096,0.0005,200,0.0732
0.0747,0.0023,0.0000,0.0001,0.0722,0.0001,200,0.0088
