response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0034,0.0005,0.0000,0.0001,0.0027,0.0001,200,0.0042
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.0077
0.0020,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0099
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0118
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0136
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0156
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0174
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0190
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0206
0.0435,0.0000,0.0000,0.0000,0.0434,0.0001,200,0.0223
0.0018,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0658
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0676
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0695
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0714
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0732
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0752
0.0018,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0769
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0787
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0806
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0823
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.0843
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.0862
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0879
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0897
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.0916
0.0018,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0938
0.0019,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0956
