response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0029,0.0006,0.0000,0.0001,0.0020,0.0001,200,0.0037
0.0029,0.0004,0.0000,0.0002,0.0021,0.0001,200,0.0038
0.0029,0.0005,0.0000,0.0001,0.0020,0.0001,200,0.0038
0.0030,0.0006,0.0000,0.0001,0.0021,0.0001,200,0.0037
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0066
0.0020,0.0000,0.0000,0.0000,0.0014,0.0005,200,0.0067
0.0019,0.0000,0.0000,0.0000,0.0017,0.0002,200,0.0067
0.0022,0.0000,0.0000,0.0000,0.0019,0.0002,200,0.0067
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0081
0.0021,0.0000,0.0000,0.0001,0.0017,0.0001,200,0.0089
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0096
0.0026,0.0000,0.0000,0.0002,0.0021,0.0000,200,0.0087
0.0028,0.0000,0.0000,0.0002,0.0023,0.0001,200,0.0086
0.0016,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0110
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0113
0.0015,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0115
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0112
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0129
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0130
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.0125
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.0130
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0145
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0144
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0146
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0150
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.0161
0.0024,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.0159
0.0021,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.0164
0.0024,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.0161
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.0174
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0183
0.0599,0.0000,0.0000,0.0000,0.0597,0.0001,200,0.0185
0.0599,0.0000,0.0000,0.0000,0.0598,0.0001,200,0.0185
0.0597,0.0000,0.0000,0.0000,0.0596,0.0000,200,0.0196
0.0600,0.0000,0.0000,0.0000,0.0599,0.0000,200,0.0197
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0783
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0784
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0793
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0797
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0800
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0801
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0809
0.0018,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.0811
0.0038,0.0000,0.0000,0.0000,0.0036,0.0001,200,0.0816
0.0031,0.0000,0.0000,0.0000,0.0030,0.0000,200,0.0823
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.0829
0.0034,0.0000,0.0000,0.0000,0.0033,0.0001,200,0.0820
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0853
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0854
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0854
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0854
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0869
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0869
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.0870
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0869
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0885
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0885
0.0011,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.0888
0.0012,0.0000,0.0000,0.0000,0.0012,0.0000,200,0.0887
0.0012,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.0896
0.0012,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0899
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.0899
0.0016,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0899
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0908
0.0013,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.0911
0.0012,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.0912
0.0013,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.0914
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0920
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.0924
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0923
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0927
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0933
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.0939
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0936
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0942
0.0013,0.0000,0.0000,0.0000,0.0012,0.0000,200,0.0948
0.0012,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.0950
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.0951
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.0953
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0961
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.0962
0.0010,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.0963
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0965
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0972
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0974
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.0974
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0979
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0983
0.0013,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.0993
0.0012,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0995
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0993
0.0013,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.1001
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.1006
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1007
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1006
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.1015
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.1023
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1021
0.0013,0.0000,0.0000,0.0000,0.0012,0.0000,200,0.1023
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.1026
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.1035
0.0012,0.0000,0.0000,0.0001,0.0011,0.0001,200,0.1036
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.1038
0.0017,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1036
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.1048
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.1049
