response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0062,0.0009,0.0000,0.0005,0.0035,0.0001,200,0.0057
0.0064,0.0021,0.0000,0.0008,0.0033,0.0001,200,0.0057
0.0081,0.0022,0.0000,0.0003,0.0045,0.0001,200,0.0058
0.0094,0.0023,0.0000,0.0003,0.0058,0.0001,200,0.0055
0.0085,0.0015,0.0000,0.0001,0.0067,0.0001,200,0.0075
0.0094,0.0028,0.0000,0.0002,0.0061,0.0001,200,0.0066
0.0067,0.0011,0.0000,0.0001,0.0053,0.0001,200,0.0098
0.0115,0.0029,0.0000,0.0001,0.0075,0.0001,200,0.0058
0.0113,0.0021,0.0000,0.0002,0.0087,0.0001,200,0.0064
0.0122,0.0021,0.0000,0.0004,0.0085,0.0001,200,0.0055
0.0118,0.0025,0.0000,0.0002,0.0078,0.0001,200,0.0058
0.0119,0.0025,0.0000,0.0009,0.0074,0.0001,200,0.0058
0.0280,0.0000,0.0000,0.0000,0.0279,0.0001,200,0.0139
0.0330,0.0015,0.0000,0.0002,0.0311,0.0001,200,0.0091
0.0357,0.0022,0.0000,0.0002,0.0323,0.0000,200,0.0064
0.0324,0.0010,0.0000,0.0001,0.0312,0.0001,200,0.0098
0.0323,0.0010,0.0000,0.0001,0.0312,0.0001,200,0.0099
0.0338,0.0012,0.0000,0.0003,0.0322,0.0001,200,0.0086
0.0278,0.0000,0.0000,0.0000,0.0277,0.0000,200,0.0149
0.0334,0.0014,0.0000,0.0002,0.0317,0.0000,200,0.0093
0.0370,0.0025,0.0000,0.0011,0.0324,0.0000,200,0.0057
0.0338,0.0018,0.0000,0.0001,0.0317,0.0001,200,0.0092
0.0378,0.0025,0.0000,0.0001,0.0340,0.0001,200,0.0060
0.0282,0.0000,0.0000,0.0000,0.0281,0.0001,200,0.0160
0.0349,0.0019,0.0000,0.0000,0.0329,0.0000,200,0.0093
0.0364,0.0014,0.0000,0.0013,0.0336,0.0001,200,0.0079
0.0381,0.0020,0.0000,0.0008,0.0352,0.0001,200,0.0063
0.0345,0.0012,0.0000,0.0001,0.0331,0.0001,200,0.0098
0.0267,0.0000,0.0000,0.0000,0.0265,0.0001,200,0.0177
0.0382,0.0037,0.0000,0.0001,0.0331,0.0000,200,0.0062
0.0353,0.0014,0.0000,0.0000,0.0335,0.0001,200,0.0092
0.0342,0.0007,0.0000,0.0001,0.0332,0.0001,200,0.0104
0.0361,0.0010,0.0000,0.0008,0.0342,0.0000,200,0.0085
0.0374,0.0020,0.0000,0.0010,0.0344,0.0001,200,0.0073
0.0271,0.0000,0.0000,0.0000,0.0269,0.0001,200,0.0177
0.0359,0.0018,0.0000,0.0002,0.0339,0.0000,200,0.0089
0.0369,0.0007,0.0000,0.0016,0.0340,0.0000,200,0.0080
0.0356,0.0000,0.0000,0.0000,0.0329,0.0000,200,0.0093
0.0028,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.0422
0.0274,0.0000,0.0000,0.0000,0.0273,0.0001,200,0.0177
0.0275,0.0000,0.0000,0.0000,0.0274,0.0000,200,0.0176
0.0289,0.0000,0.0000,0.0000,0.0288,0.0001,200,0.0165
0.0036,0.0000,0.0000,0.0000,0.0034,0.0001,200,0.0421
0.0029,0.0000,0.0000,0.0000,0.0028,0.0001,200,0.0430
0.0037,0.0000,0.0000,0.0000,0.0036,0.0001,200,0.0424
0.0368,0.0014,0.0000,0.0000,0.0354,0.0000,200,0.0094
0.0370,0.0015,0.0000,0.0002,0.0352,0.0001,200,0.0093
0.0372,0.0013,0.0000,0.0002,0.0354,0.0001,200,0.0093
0.0371,0.0014,0.0000,0.0000,0.0355,0.0000,200,0.0094
0.0362,0.0008,0.0000,0.0001,0.0352,0.0000,200,0.0104
0.0412,0.0027,0.0000,0.0010,0.0362,0.0001,200,0.0054
0.0039,0.0000,0.0000,0.0000,0.0037,0.0001,200,0.0427
0.0306,0.0000,0.0000,0.0000,0.0305,0.0001,200,0.0160
0.0380,0.0011,0.0000,0.0004,0.0364,0.0001,200,0.0086
0.0362,0.0007,0.0000,0.0001,0.0353,0.0001,200,0.0105
0.0041,0.0000,0.0000,0.0000,0.0040,0.0001,200,0.0427
0.0413,0.0041,0.0000,0.0000,0.0356,0.0001,200,0.0057
0.0397,0.0023,0.0000,0.0002,0.0372,0.0000,200,0.0073
0.0389,0.0011,0.0000,0.0002,0.0376,0.0001,200,0.0085
0.0353,0.0000,0.0000,0.0000,0.0351,0.0000,200,0.0121
0.0302,0.0000,0.0000,0.0000,0.0301,0.0000,200,0.0173
0.0054,0.0000,0.0000,0.0000,0.0053,0.0001,200,0.0421
0.0037,0.0000,0.0000,0.0000,0.0036,0.0000,200,0.0438
