response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0032,0.0007,0.0001,0.0001,0.0017,0.0001,200,0.0063
0.0033,0.0011,0.0001,0.0001,0.0018,0.0001,200,0.0061
0.0031,0.0009,0.0000,0.0001,0.0015,0.0001,200,0.0064
0.0029,0.0012,0.0001,0.0001,0.0015,0.0001,200,0.0066
0.0036,0.0017,0.0003,0.0001,0.0016,0.0001,200,0.0060
0.0029,0.0008,0.0001,0.0001,0.0017,0.0000,200,0.0067
0.0036,0.0010,0.0001,0.0002,0.0020,0.0001,200,0.0061
0.0032,0.0007,0.0001,0.0000,0.0017,0.0000,200,0.0065
0.0037,0.0012,0.0005,0.0002,0.0022,0.0000,200,0.0060
0.0032,0.0015,0.0001,0.0001,0.0010,0.0001,200,0.0066
0.0038,0.0018,0.0001,0.0001,0.0011,0.0000,200,0.0061
0.0036,0.0015,0.0001,0.0000,0.0012,0.0000,200,0.0064
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.0094
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0095
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0096
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0094
0.0014,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.0097
0.0010,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0103
0.0008,0.0000,0.0000,0.0000,0.0007,0.0001,200,0.0109
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.0111
0.0455,0.0000,0.0000,0.0000,0.0454,0.0001,200,0.0095
0.0452,0.0000,0.0000,0.0000,0.0451,0.0001,200,0.0100
0.0455,0.0000,0.0000,0.0000,0.0454,0.0001,200,0.0096
0.0456,0.0000,0.0000,0.0000,0.0455,0.0001,200,0.0096
0.0452,0.0000,0.0000,0.0000,0.0452,0.0000,200,0.0100
0.0458,0.0000,0.0000,0.0000,0.0457,0.0001,200,0.0096
0.0455,0.0000,0.0000,0.0000,0.0454,0.0001,200,0.0099
0.0445,0.0000,0.0000,0.0000,0.0444,0.0001,200,0.0110
0.0445,0.0000,0.0000,0.0000,0.0444,0.0000,200,0.0111
0.0435,0.0000,0.0000,0.0000,0.0433,0.0000,200,0.0122
0.0435,0.0000,0.0000,0.0000,0.0434,0.0000,200,0.0122
0.0434,0.0000,0.0000,0.0000,0.0434,0.0000,200,0.0122
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.0552
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.0552
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.0553
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.0554
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0553
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0554
0.0009,0.0000,0.0000,0.0001,0.0008,0.0000,200,0.0555
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0550
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0556
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0556
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0557
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.0557
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0561
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0562
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.0563
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0566
0.0011,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.0563
0.0010,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0564
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.0564
0.0012,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.0564
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.0567
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.0568
0.0009,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.0567
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0569
0.0971,0.0000,0.0000,0.0000,0.0970,0.0000,200,0.0583
0.0972,0.0000,0.0000,0.0000,0.0970,0.0001,200,0.0582
0.0973,0.0000,0.0000,0.0000,0.0971,0.0001,200,0.0582
0.0973,0.0000,0.0000,0.0000,0.0972,0.0001,200,0.0582
0.0973,0.0000,0.0000,0.0000,0.0972,0.0001,200,0.0582
0.0975,0.0000,0.0000,0.0000,0.0974,0.0000,200,0.0580
0.0973,0.0000,0.0000,0.0000,0.0972,0.0001,200,0.0582
0.0975,0.0000,0.0000,0.0000,0.0974,0.0001,200,0.0580
0.0976,0.0000,0.0000,0.0000,0.0975,0.0000,200,0.0580
0.0979,0.0000,0.0000,0.0000,0.0977,0.0001,200,0.0581
0.0978,0.0000,0.0000,0.0000,0.0977,0.0000,200,0.0583
0.0985,0.0000,0.0000,0.0000,0.0983,0.0001,200,0.0581
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.1555
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.1556
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.1554
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.1554
0.0014,0.0000,0.0000,0.0001,0.0013,0.0000,200,0.1555
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1554
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1555
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1555
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.1560
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.1560
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1555
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.1566
0.0011,0.0000,0.0000,0.0001,0.0009,0.0001,200,0.1568
0.0012,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.1569
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.1573
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.1571
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1571
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1571
0.0020,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1569
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.1580
0.0022,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.1570
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.1582
0.0024,0.0000,0.0000,0.0001,0.0022,0.0001,200,0.1569
