response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0021,0.0009,0.0003,0.0001,0.0008,0.0001,200,0.0066
0.0022,0.0010,0.0002,0.0001,0.0010,0.0001,200,0.0066
0.0025,0.0011,0.0004,0.0001,0.0011,0.0001,200,0.0066
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.0088
0.0008,0.0000,0.0000,0.0000,0.0007,0.0001,200,0.0090
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0106
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.0105
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0126
0.0010,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0126
0.0010,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0146
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.0146
0.0089,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.0086
0.0011,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.0166
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0175
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0185
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.0186
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0206
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.0206
0.0010,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0226
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.0226
0.0862,0.0000,0.0000,0.0000,0.0860,0.0001,200,0.0246
0.0863,0.0000,0.0000,0.0000,0.0862,0.0001,200,0.0246
0.0944,0.0000,0.0000,0.0000,0.0942,0.0001,200,0.0166
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.1109
0.0013,0.0000,0.0000,0.0000,0.0010,0.0002,200,0.1108
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.1110
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.1126
0.0011,0.0000,0.0000,0.0001,0.0009,0.0001,200,0.1126
0.0012,0.0000,0.0000,0.0001,0.0009,0.0000,200,0.1126
0.0013,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.1146
0.0013,0.0000,0.0000,0.0000,0.0012,0.0000,200,0.1146
0.0013,0.0000,0.0000,0.0000,0.0012,0.0000,200,0.1147
0.0010,0.0000,0.0000,0.0001,0.0008,0.0001,200,0.1166
0.0011,0.0000,0.0000,0.0001,0.0009,0.0001,200,0.1166
0.0011,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.1166
0.0011,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.1186
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.1186
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.1186
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.1206
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.1206
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.1206
0.0882,0.0000,0.0000,0.0000,0.0880,0.0001,200,0.1227
0.0883,0.0000,0.0000,0.0000,0.0882,0.0001,200,0.1226
0.0884,0.0000,0.0000,0.0000,0.0883,0.0001,200,0.1226
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.2109
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.2110
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.2110
0.0010,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.2126
0.0012,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.2126
0.0013,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.2126
0.0011,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.2146
0.0013,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.2146
0.0014,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.2146
0.0943,0.0000,0.0000,0.0000,0.0942,0.0001,200,0.2166
0.0944,0.0000,0.0000,0.0000,0.0943,0.0001,200,0.2166
0.0945,0.0000,0.0000,0.0000,0.0943,0.0001,200,0.2166
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.3111
0.0013,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.3110
0.0998,0.0000,0.0000,0.0000,0.0997,0.0001,200,0.3109
0.0983,0.0000,0.0000,0.0000,0.0982,0.0001,200,0.3125
0.0983,0.0000,0.0000,0.0000,0.0982,0.0001,200,0.3125
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.4107
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.4109
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.4109
0.0010,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.4126
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.4126
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.4126
0.0011,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.4146
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.4146
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.4146
0.0009,0.0000,0.0000,0.0000,0.0007,0.0001,200,0.4166
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.4166
0.0011,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.4166
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.4186
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.4186
0.0011,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.4186
0.0902,0.0000,0.0000,0.0000,0.0900,0.0001,200,0.4206
0.0903,0.0000,0.0000,0.0000,0.0901,0.0001,200,0.4206
0.0903,0.0000,0.0000,0.0000,0.0901,0.0001,200,0.4206
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.5108
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.5109
0.0012,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.5109
0.0012,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.5126
0.0013,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.5126
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.5126
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.5146
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.5146
0.0013,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.5146
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.5166
0.0012,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.5166
0.0012,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.5166
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.5186
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.5186
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.5186
0.0901,0.0000,0.0000,0.0000,0.0899,0.0001,200,0.5206
0.0902,0.0000,0.0000,0.0000,0.0901,0.0001,200,0.5206
0.0902,0.0000,0.0000,0.0000,0.0900,0.0001,200,0.5207
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.6107
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.6108
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.6108
0.0011,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.6126
0.0012,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.6126
0.0014,0.0000,0.0000,0.0001,0.0011,0.0001,200,0.6126
0.0013,0.0000,0.0000,0.0001,0.0011,0.0001,200,0.6146
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.6146
0.0941,0.0000,0.0000,0.0000,0.0939,0.0001,200,0.6166
0.0962,0.0000,0.0000,0.0001,0.0961,0.0001,200,0.6146
0.0942,0.0000,0.0000,0.0000,0.0941,0.0001,200,0.6166
0.0999,0.0000,0.0000,0.0000,0.0998,0.0001,200,0.7108
0.1001,0.0000,0.0000,0.0000,0.0999,0.0001,200,0.7108
0.1002,0.0000,0.0000,0.0000,0.1001,0.0001,200,0.7107
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.8108
0.0019,0.0000,0.0000,0.0001,0.0018,0.0001,200,0.8109
0.0010,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.8126
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.8128
0.0011,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.8146
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.8146
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.8109
0.0012,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.8166
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.8166
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.8176
0.0922,0.0000,0.0000,0.0000,0.0920,0.0001,200,0.8186
0.0923,0.0000,0.0000,0.0000,0.0921,0.0001,200,0.8186
0.0923,0.0000,0.0000,0.0000,0.0921,0.0001,200,0.8186
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.9108
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.9109
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.9109
