response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0032,0.0019,0.0001,0.0001,0.0011,0.0001,200,0.0057
0.0037,0.0014,0.0001,0.0000,0.0013,0.0001,200,0.0053
0.0040,0.0018,0.0002,0.0003,0.0014,0.0001,200,0.0051
0.0037,0.0013,0.0001,0.0001,0.0013,0.0000,200,0.0058
0.0042,0.0027,0.0009,0.0001,0.0013,0.0001,200,0.0053
0.0029,0.0013,0.0001,0.0001,0.0014,0.0001,200,0.0067
0.0046,0.0018,0.0000,0.0001,0.0015,0.0001,200,0.0050
0.0029,0.0013,0.0000,0.0001,0.0014,0.0001,200,0.0067
0.0057,0.0020,0.0001,0.0001,0.0023,0.0000,200,0.0049
0.0038,0.0013,0.0002,0.0001,0.0023,0.0001,200,0.0069
0.0040,0.0015,0.0001,0.0000,0.0024,0.0001,200,0.0068
0.0059,0.0021,0.0000,0.0000,0.0023,0.0001,200,0.0050
0.0056,0.0015,0.0000,0.0001,0.0023,0.0001,200,0.0053
0.0032,0.0000,0.0002,0.0000,0.0017,0.0002,200,0.0078
0.0043,0.0018,0.0002,0.0001,0.0019,0.0001,200,0.0067
0.0065,0.0019,0.0001,0.0001,0.0027,0.0001,200,0.0046
0.0051,0.0021,0.0000,0.0001,0.0019,0.0001,200,0.0060
0.0052,0.0020,0.0001,0.0001,0.0020,0.0001,200,0.0060
0.0059,0.0000,0.0001,0.0000,0.0020,0.0000,200,0.0052
0.0038,0.0011,0.0000,0.0000,0.0025,0.0001,200,0.0074
0.0044,0.0016,0.0001,0.0001,0.0026,0.0001,200,0.0067
0.0043,0.0016,0.0002,0.0000,0.0025,0.0001,200,0.0069
0.0066,0.0000,0.0000,0.0000,0.0022,0.0001,200,0.0046
0.0045,0.0014,0.0000,0.0001,0.0029,0.0001,200,0.0067
0.0038,0.0016,0.0000,0.0001,0.0021,0.0001,200,0.0074
0.0046,0.0000,0.0001,0.0000,0.0022,0.0000,200,0.0067
0.0068,0.0038,0.0001,0.0000,0.0023,0.0000,200,0.0046
0.0625,0.0000,0.0000,0.0000,0.0623,0.0001,200,0.0112
0.0626,0.0000,0.0000,0.0000,0.0624,0.0001,200,0.0112
0.0642,0.0000,0.0000,0.0000,0.0628,0.0001,200,0.0096
