response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0089,0.0062,0.0021,0.0004,0.0011,0.0001,200,0.0101
0.0118,0.0000,0.0048,0.0000,0.0009,0.0001,200,0.0083
0.0104,0.0052,0.0001,0.0002,0.0029,0.0001,200,0.0099
0.0122,0.0068,0.0030,0.0001,0.0030,0.0001,200,0.0080
0.0121,0.0034,0.0000,0.0002,0.0033,0.0001,200,0.0083
0.0101,0.0045,0.0000,0.0002,0.0032,0.0001,200,0.0104
0.0107,0.0040,0.0000,0.0001,0.0034,0.0000,200,0.0099
0.0110,0.0058,0.0009,0.0001,0.0034,0.0001,200,0.0099
0.0110,0.0040,0.0001,0.0001,0.0033,0.0000,200,0.0099
0.0114,0.0046,0.0003,0.0002,0.0036,0.0001,200,0.0099
0.0108,0.0056,0.0001,0.0001,0.0036,0.0000,200,0.0105
0.0111,0.0051,0.0002,0.0001,0.0038,0.0000,200,0.0103
0.0139,0.0080,0.0000,0.0001,0.0041,0.0001,200,0.0077
0.0117,0.0046,0.0000,0.0002,0.0039,0.0000,200,0.0099
0.0115,0.0047,0.0002,0.0005,0.0042,0.0001,200,0.0104
0.0122,0.0037,0.0000,0.0010,0.0042,0.0001,200,0.0099
0.0140,0.0083,0.0010,0.0002,0.0043,0.0000,200,0.0081
0.0122,0.0062,0.0001,0.0003,0.0044,0.0001,200,0.0101
0.0120,0.0044,0.0000,0.0006,0.0043,0.0000,200,0.0104
0.0124,0.0047,0.0000,0.0002,0.0047,0.0001,200,0.0101
0.0116,0.0057,0.0030,0.0013,0.0044,0.0001,200,0.0110
0.0114,0.0069,0.0000,0.0000,0.0045,0.0000,200,0.0112
0.0124,0.0058,0.0020,0.0008,0.0048,0.0000,200,0.0104
0.0148,0.0085,0.0001,0.0000,0.0046,0.0001,200,0.0080
0.0125,0.0055,0.0000,0.0004,0.0048,0.0000,200,0.0103
0.0125,0.0055,0.0005,0.0004,0.0049,0.0000,200,0.0104
0.0149,0.0086,0.0002,0.0001,0.0047,0.0000,200,0.0080
0.0126,0.0047,0.0000,0.0007,0.0047,0.0000,200,0.0103
0.0131,0.0063,0.0021,0.0000,0.0046,0.0000,200,0.0099
0.0148,0.0086,0.0007,0.0003,0.0047,0.0001,200,0.0082
0.0123,0.0069,0.0001,0.0001,0.0051,0.0000,200,0.0110
0.0135,0.0066,0.0028,0.0000,0.0048,0.0001,200,0.0099
0.0151,0.0092,0.0007,0.0003,0.0053,0.0000,200,0.0082
0.0126,0.0068,0.0000,0.0000,0.0051,0.0001,200,0.0109
0.0132,0.0056,0.0001,0.0004,0.0054,0.0000,200,0.0104
0.0136,0.0063,0.0000,0.0008,0.0051,0.0000,200,0.0101
0.0139,0.0047,0.0000,0.0005,0.0059,0.0000,200,0.0099
0.0135,0.0061,0.0017,0.0000,0.0049,0.0001,200,0.0103
0.0160,0.0086,0.0010,0.0001,0.0057,0.0000,200,0.0078
0.0130,0.0066,0.0001,0.0006,0.0056,0.0000,200,0.0108
0.0139,0.0054,0.0000,0.0004,0.0060,0.0000,200,0.0101
0.0162,0.0076,0.0010,0.0005,0.0059,0.0000,200,0.0078
0.0143,0.0051,0.0001,0.0001,0.0066,0.0001,200,0.0098
0.0163,0.0090,0.0030,0.0007,0.0062,0.0000,200,0.0081
0.0140,0.0048,0.0000,0.0005,0.0064,0.0001,200,0.0105
0.0143,0.0050,0.0000,0.0005,0.0069,0.0001,200,0.0103
0.0145,0.0037,0.0000,0.0004,0.0070,0.0000,200,0.0103
0.0148,0.0045,0.0002,0.0005,0.0069,0.0000,200,0.0101
0.0149,0.0036,0.0001,0.0009,0.0071,0.0000,200,0.0101
0.0157,0.0065,0.0000,0.0003,0.0072,0.0000,200,0.0099
0.0179,0.0092,0.0000,0.0000,0.0077,0.0000,200,0.0080
0.0472,0.0044,0.0000,0.0005,0.0398,0.0000,200,0.0101
0.0494,0.0084,0.0000,0.0000,0.0390,0.0000,200,0.0082
0.0343,0.0000,0.0000,0.0000,0.0338,0.0000,200,0.0238
0.0473,0.0044,0.0001,0.0000,0.0372,0.0000,200,0.0108
0.0483,0.0062,0.0013,0.0001,0.0391,0.0000,200,0.0099
0.0483,0.0066,0.0000,0.0007,0.0398,0.0000,200,0.0099
0.0353,0.0000,0.0000,0.0000,0.0344,0.0001,200,0.0229
0.0475,0.0050,0.0001,0.0001,0.0374,0.0000,200,0.0108
0.0506,0.0088,0.0000,0.0000,0.0401,0.0000,200,0.0077
0.0480,0.0028,0.0000,0.0015,0.0401,0.0000,200,0.0103
0.0485,0.0051,0.0000,0.0000,0.0392,0.0000,200,0.0099
0.0507,0.0092,0.0022,0.0001,0.0396,0.0000,200,0.0078
0.0486,0.0039,0.0000,0.0000,0.0385,0.0000,200,0.0099
0.0481,0.0072,0.0035,0.0000,0.0390,0.0000,200,0.0105
0.0503,0.0000,0.0000,0.0000,0.0367,0.0001,200,0.0083
0.0370,0.0000,0.0000,0.0000,0.0357,0.0000,200,0.0216
0.0481,0.0000,0.0000,0.0000,0.0379,0.0001,200,0.0107
0.0346,0.0000,0.0000,0.0000,0.0341,0.0000,200,0.0246
0.0485,0.0000,0.0001,0.0000,0.0386,0.0000,200,0.0108
0.0373,0.0000,0.0001,0.0001,0.0363,0.0001,200,0.0220
0.0367,0.0000,0.0000,0.0000,0.0359,0.0000,200,0.0227
0.0366,0.0000,0.0000,0.0000,0.0357,0.0001,200,0.0228
0.0359,0.0000,0.0000,0.0000,0.0354,0.0000,200,0.0236
0.0345,0.0000,0.0000,0.0000,0.0339,0.0000,200,0.0250
