response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0029,0.0011,0.0003,0.0004,0.0011,0.0001,200,0.0036
0.0030,0.0014,0.0002,0.0003,0.0010,0.0000,200,0.0035
0.0031,0.0012,0.0002,0.0004,0.0013,0.0001,200,0.0036
0.0031,0.0014,0.0002,0.0003,0.0010,0.0001,200,0.0036
0.0031,0.0011,0.0004,0.0007,0.0011,0.0001,200,0.0036
0.0009,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.0066
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0065
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0067
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.0067
0.0010,0.0000,0.0000,0.0001,0.0009,0.0000,200,0.0067
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0077
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.0076
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.0077
0.0009,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0078
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.0075
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.0086
0.0010,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.0087
0.0012,0.0000,0.0000,0.0001,0.0010,0.0000,200,0.0087
0.0955,0.0000,0.0000,0.0000,0.0954,0.0001,200,0.0098
0.0967,0.0000,0.0000,0.0000,0.0966,0.0001,200,0.0087
0.0960,0.0000,0.0000,0.0000,0.0959,0.0001,200,0.0095
0.0958,0.0000,0.0000,0.0000,0.0957,0.0001,200,0.0097
0.0969,0.0000,0.0000,0.0000,0.0966,0.0001,200,0.0087
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.1054
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.1056
0.0012,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.1054
0.0012,0.0000,0.0000,0.0000,0.0011,0.0001,200,0.1054
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.1055
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.1066
0.0011,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.1066
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.1066
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.1065
0.0012,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.1066
0.0008,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.1077
0.0011,0.0000,0.0000,0.0001,0.0010,0.0000,200,0.1076
0.0010,0.0000,0.0000,0.0000,0.0008,0.0001,200,0.1078
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.1077
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.1078
0.0008,0.0000,0.0000,0.0000,0.0007,0.0001,200,0.1087
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.1087
0.0012,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.1085
0.0010,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.1087
0.0011,0.0000,0.0000,0.0000,0.0009,0.0001,200,0.1089
0.0007,0.0000,0.0000,0.0000,0.0007,0.0001,200,0.1096
0.0008,0.0000,0.0000,0.0000,0.0007,0.0001,200,0.1097
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.1097
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.1100
0.0012,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.1097
0.0006,0.0000,0.0000,0.0000,0.0005,0.0000,200,0.1103
0.0007,0.0000,0.0000,0.0000,0.0006,0.0000,200,0.1105
0.0008,0.0000,0.0000,0.0000,0.0007,0.0001,200,0.1109
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.1108
0.0009,0.0000,0.0000,0.0000,0.0007,0.0001,200,0.1109
0.0009,0.0000,0.0000,0.0001,0.0008,0.0000,200,0.1109
0.0008,0.0000,0.0000,0.0000,0.0007,0.0000,200,0.1112
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.1118
0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,200,0.1118
