response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0031,0.0017,0.0003,0.0001,0.0010,0.0001,200,0.0045
0.0038,0.0011,0.0001,0.0009,0.0010,0.0000,200,0.0042
0.0036,0.0016,0.0000,0.0000,0.0011,0.0001,200,0.0045
0.0040,0.0013,0.0001,0.0001,0.0012,0.0000,200,0.0042
0.0046,0.0017,0.0001,0.0002,0.0015,0.0001,200,0.0041
0.0030,0.0014,0.0001,0.0001,0.0014,0.0001,200,0.0059
0.0048,0.0018,0.0000,0.0001,0.0014,0.0001,200,0.0041
0.0048,0.0016,0.0000,0.0006,0.0017,0.0001,200,0.0042
0.0381,0.0000,0.0001,0.0000,0.0364,0.0001,200,0.0076
0.0370,0.0000,0.0001,0.0000,0.0362,0.0000,200,0.0087
0.0391,0.0000,0.0002,0.0001,0.0370,0.0001,200,0.0069
0.0395,0.0010,0.0000,0.0000,0.0383,0.0000,200,0.0066
0.0394,0.0020,0.0001,0.0001,0.0373,0.0000,200,0.0069
0.0402,0.0000,0.0008,0.0000,0.0380,0.0000,200,0.0060
0.0390,0.0016,0.0000,0.0001,0.0373,0.0001,200,0.0072
0.0418,0.0034,0.0000,0.0001,0.0374,0.0001,200,0.0045
0.0383,0.0000,0.0000,0.0000,0.0369,0.0001,200,0.0080
0.0421,0.0010,0.0000,0.0007,0.0387,0.0001,200,0.0042
0.0399,0.0000,0.0005,0.0001,0.0375,0.0001,200,0.0064
0.0401,0.0014,0.0001,0.0000,0.0385,0.0001,200,0.0063
0.0407,0.0000,0.0000,0.0000,0.0371,0.0000,200,0.0057
0.0405,0.0014,0.0001,0.0001,0.0390,0.0000,200,0.0059
0.0399,0.0021,0.0001,0.0001,0.0375,0.0000,200,0.0066
0.0414,0.0000,0.0012,0.0000,0.0392,0.0001,200,0.0059
0.0385,0.0000,0.0000,0.0000,0.0378,0.0000,200,0.0089
0.0433,0.0000,0.0003,0.0001,0.0391,0.0000,200,0.0041
0.0416,0.0000,0.0000,0.0000,0.0384,0.0001,200,0.0059
0.0394,0.0000,0.0000,0.0000,0.0381,0.0000,200,0.0081
0.0409,0.0000,0.0004,0.0000,0.0387,0.0001,200,0.0067
0.0434,0.0030,0.0000,0.0000,0.0391,0.0000,200,0.0042
0.0405,0.0000,0.0001,0.0001,0.0383,0.0001,200,0.0072
0.0435,0.0026,0.0003,0.0001,0.0400,0.0000,200,0.0041
0.0426,0.0000,0.0014,0.0000,0.0399,0.0000,200,0.0051
0.0412,0.0020,0.0001,0.0001,0.0391,0.0001,200,0.0065
0.0409,0.0017,0.0000,0.0001,0.0389,0.0000,200,0.0068
0.0396,0.0000,0.0000,0.0000,0.0382,0.0000,200,0.0082
0.0420,0.0000,0.0005,0.0000,0.0389,0.0001,200,0.0058
0.0417,0.0016,0.0003,0.0000,0.0401,0.0000,200,0.0061
0.0412,0.0000,0.0005,0.0000,0.0390,0.0000,200,0.0067
0.0407,0.0000,0.0000,0.0000,0.0390,0.0001,200,0.0073
0.0438,0.0008,0.0000,0.0007,0.0405,0.0001,200,0.0042
0.0424,0.0000,0.0002,0.0000,0.0392,0.0000,200,0.0057
0.0020,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.0461
0.0416,0.0021,0.0001,0.0001,0.0393,0.0000,200,0.0066
0.0416,0.0012,0.0001,0.0000,0.0404,0.0000,200,0.0065
0.0392,0.0000,0.0000,0.0001,0.0386,0.0000,200,0.0090
0.0425,0.0014,0.0001,0.0001,0.0408,0.0000,200,0.0058
0.0414,0.0000,0.0001,0.0000,0.0391,0.0000,200,0.0070
0.0417,0.0009,0.0001,0.0000,0.0407,0.0000,200,0.0068
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.0462
0.0441,0.0019,0.0000,0.0003,0.0410,0.0000,200,0.0045
0.0430,0.0019,0.0002,0.0001,0.0410,0.0000,200,0.0057
