response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0039,0.0024,0.0001,0.0002,0.0011,0.0001,200,0.0072
0.0040,0.0022,0.0002,0.0002,0.0011,0.0002,200,0.0072
0.0040,0.0024,0.0007,0.0002,0.0011,0.0002,200,0.0072
0.0041,0.0025,0.0001,0.0001,0.0011,0.0002,200,0.0072
0.0037,0.0022,0.0004,0.0001,0.0011,0.0003,200,0.0077
0.0046,0.0017,0.0005,0.0015,0.0011,0.0001,200,0.0072
0.0046,0.0015,0.0001,0.0001,0.0016,0.0000,200,0.0079
0.0053,0.0018,0.0001,0.0008,0.0018,0.0001,200,0.0073
0.0042,0.0023,0.0001,0.0001,0.0017,0.0001,200,0.0084
0.0046,0.0020,0.0002,0.0000,0.0018,0.0001,200,0.0082
0.0056,0.0020,0.0000,0.0008,0.0020,0.0001,200,0.0072
0.0048,0.0016,0.0007,0.0006,0.0019,0.0000,200,0.0081
0.0031,0.0006,0.0000,0.0005,0.0018,0.0001,200,0.0098
0.0044,0.0014,0.0001,0.0008,0.0021,0.0001,200,0.0086
0.0050,0.0021,0.0000,0.0001,0.0020,0.0002,200,0.0081
0.0037,0.0012,0.0002,0.0005,0.0019,0.0001,200,0.0094
0.0045,0.0018,0.0001,0.0006,0.0020,0.0001,200,0.0086
0.0046,0.0019,0.0002,0.0005,0.0021,0.0000,200,0.0087
0.0055,0.0000,0.0001,0.0000,0.0023,0.0001,200,0.0082
0.0040,0.0010,0.0002,0.0002,0.0027,0.0000,200,0.0099
0.0061,0.0016,0.0000,0.0001,0.0027,0.0000,200,0.0079
0.0049,0.0000,0.0001,0.0000,0.0027,0.0001,200,0.0092
0.0045,0.0016,0.0001,0.0000,0.0027,0.0001,200,0.0096
0.0052,0.0023,0.0003,0.0001,0.0027,0.0000,200,0.0089
0.0057,0.0000,0.0001,0.0000,0.0029,0.0000,200,0.0085
0.0048,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.0097
0.0565,0.0000,0.0000,0.0001,0.0559,0.0001,200,0.0125
0.0599,0.0035,0.0001,0.0001,0.0563,0.0000,200,0.0091
0.0578,0.0000,0.0000,0.0000,0.0560,0.0002,200,0.0113
0.0561,0.0000,0.0000,0.0000,0.0558,0.0001,200,0.0130
0.0609,0.0027,0.0003,0.0001,0.0577,0.0001,200,0.0081
0.0562,0.0000,0.0000,0.0001,0.0560,0.0001,200,0.0129
0.0551,0.0000,0.0000,0.0000,0.0550,0.0001,200,0.0140
0.0563,0.0000,0.0001,0.0001,0.0560,0.0001,200,0.0128
0.0561,0.0000,0.0000,0.0001,0.0557,0.0001,200,0.0131
0.0565,0.0000,0.0000,0.0001,0.0560,0.0001,200,0.0126
0.0555,0.0000,0.0000,0.0000,0.0554,0.0000,200,0.0137
0.0580,0.0000,0.0001,0.0001,0.0562,0.0002,200,0.0112
0.0608,0.0000,0.0000,0.0000,0.0563,0.0000,200,0.0084
0.0559,0.0000,0.0000,0.0000,0.0556,0.0003,200,0.0133
0.0606,0.0000,0.0001,0.0000,0.0567,0.0000,200,0.0087
0.0606,0.0000,0.0001,0.0001,0.0564,0.0001,200,0.0087
0.0566,0.0000,0.0001,0.0000,0.0560,0.0003,200,0.0127
0.0601,0.0000,0.0000,0.0000,0.0566,0.0000,200,0.0092
0.0553,0.0000,0.0000,0.0000,0.0550,0.0002,200,0.0140
0.0609,0.0000,0.0001,0.0000,0.0578,0.0002,200,0.0085
0.0582,0.0000,0.0001,0.0002,0.0564,0.0001,200,0.0112
0.0563,0.0000,0.0000,0.0000,0.0562,0.0000,200,0.0131
0.0612,0.0000,0.0001,0.0000,0.0568,0.0001,200,0.0083
0.0566,0.0000,0.0000,0.0000,0.0563,0.0000,200,0.0128
0.0577,0.0000,0.0000,0.0001,0.0561,0.0003,200,0.0118
0.0584,0.0000,0.0000,0.0000,0.0564,0.0003,200,0.0112
0.0565,0.0000,0.0001,0.0001,0.0559,0.0003,200,0.0131
0.0602,0.0000,0.0001,0.0001,0.0567,0.0001,200,0.0094
0.0583,0.0000,0.0001,0.0000,0.0566,0.0001,200,0.0114
0.0597,0.0000,0.0000,0.0001,0.0570,0.0000,200,0.0101
0.0618,0.0000,0.0001,0.0001,0.0582,0.0000,200,0.0091
0.0569,0.0000,0.0000,0.0000,0.0568,0.0001,200,0.0142
0.0993,0.0000,0.0000,0.0000,0.0991,0.0001,200,0.0695
0.1549,0.0000,0.0000,0.0000,0.1548,0.0001,200,0.0140
0.0999,0.0000,0.0000,0.0001,0.0996,0.0001,200,0.0691
0.0997,0.0000,0.0000,0.0000,0.0993,0.0001,200,0.0693
0.0995,0.0000,0.0000,0.0000,0.0992,0.0002,200,0.0696
0.1605,0.0000,0.0001,0.0001,0.1565,0.0001,200,0.0085
0.0998,0.0000,0.0000,0.0000,0.0996,0.0001,200,0.0693
0.0998,0.0000,0.0000,0.0000,0.0996,0.0001,200,0.0693
0.1550,0.0000,0.0000,0.0000,0.1549,0.0001,200,0.0141
0.0980,0.0000,0.0000,0.0000,0.0979,0.0001,200,0.0711
0.0998,0.0000,0.0000,0.0000,0.0996,0.0002,200,0.0693
0.0995,0.0000,0.0000,0.0001,0.0993,0.0002,200,0.0696
0.0998,0.0000,0.0000,0.0000,0.0996,0.0001,200,0.0694
0.1000,0.0000,0.0000,0.0001,0.0998,0.0001,200,0.0691
0.1001,0.0000,0.0000,0.0000,0.0998,0.0002,200,0.0691
0.1612,0.0000,0.0003,0.0000,0.1579,0.0001,200,0.0080
0.1001,0.0000,0.0000,0.0001,0.0998,0.0001,200,0.0691
0.0998,0.0000,0.0000,0.0000,0.0997,0.0001,200,0.0694
0.1000,0.0000,0.0000,0.0000,0.0998,0.0001,200,0.0693
0.1608,0.0000,0.0001,0.0000,0.1566,0.0000,200,0.0085
0.1002,0.0000,0.0000,0.0000,0.1000,0.0000,200,0.0692
0.1005,0.0000,0.0000,0.0001,0.1003,0.0000,200,0.0690
0.1610,0.0015,0.0001,0.0002,0.1582,0.0001,200,0.0084
0.1604,0.0035,0.0001,0.0001,0.1568,0.0000,200,0.0091
0.1005,0.0000,0.0000,0.0000,0.1001,0.0000,200,0.0691
0.1006,0.0000,0.0000,0.0000,0.1004,0.0000,200,0.0690
0.1625,0.0032,0.0008,0.0006,0.1584,0.0001,200,0.0072
0.0015,0.0000,0.0000,0.0001,0.0013,0.0000,200,0.1688
0.1013,0.0000,0.0000,0.0000,0.1012,0.0000,200,0.0691
0.0013,0.0000,0.0000,0.0001,0.0012,0.0000,200,0.1691
0.0013,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.1692
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.1692
0.0016,0.0000,0.0000,0.0001,0.0014,0.0000,200,0.1691
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,200,0.1697
0.0018,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1689
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1692
0.0016,0.0000,0.0000,0.0001,0.0015,0.0001,200,0.1692
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1692
0.0016,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.1693
0.0019,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1690
0.0016,0.0000,0.0000,0.0001,0.0013,0.0001,200,0.1694
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.1694
0.2545,0.0000,0.0000,0.0000,0.2544,0.0001,200,0.0145
0.1981,0.0000,0.0000,0.0000,0.1980,0.0001,200,0.1707
0.1976,0.0000,0.0000,0.0000,0.1975,0.0001,200,0.1712
0.1984,0.0000,0.0000,0.0000,0.1983,0.0001,200,0.1704
0.1985,0.0000,0.0000,0.0000,0.1984,0.0001,200,0.1704
0.1983,0.0000,0.0000,0.0000,0.1982,0.0001,200,0.1706
0.1980,0.0000,0.0000,0.0000,0.1978,0.0001,200,0.1709
0.0999,0.0000,0.0000,0.0000,0.0997,0.0001,200,0.2690
0.0011,0.0000,0.0000,0.0000,0.0010,0.0001,200,0.3689
0.4993,0.0000,0.0000,0.0000,0.4992,0.0001,200,0.0695
0.4997,0.0000,0.0000,0.0000,0.4996,0.0001,200,0.0692
0.4980,0.0000,0.0000,0.0000,0.4979,0.0001,200,0.0709
0.4000,0.0000,0.0000,0.0000,0.3999,0.0001,200,0.1690
0.5001,0.0000,0.0000,0.0000,0.4999,0.0001,200,0.0691
0.4999,0.0000,0.0000,0.0000,0.4997,0.0001,200,0.0694
0.5610,0.0015,0.0002,0.0001,0.5580,0.0000,200,0.0083
0.4999,0.0000,0.0000,0.0000,0.4997,0.0001,200,0.0694
0.5553,0.0000,0.0000,0.0000,0.5552,0.0001,200,0.0140
0.5000,0.0000,0.0000,0.0000,0.4997,0.0001,200,0.0695
0.2006,0.0000,0.0000,0.0000,0.2005,0.0001,200,0.3689
0.5566,0.0000,0.0001,0.0001,0.5563,0.0001,200,0.0128
