response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0035,0.0007,0.0000,0.0002,0.0023,0.0001,200,0.0064
0.0037,0.0008,0.0000,0.0001,0.0026,0.0001,200,0.0065
0.0038,0.0008,0.0000,0.0001,0.0026,0.0001,200,0.0064
0.0038,0.0007,0.0000,0.0002,0.0026,0.0001,200,0.0064
0.0021,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.0099
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0102
0.0020,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0102
0.0021,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0102
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0120
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0123
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0121
0.0532,0.0000,0.0000,0.0000,0.0531,0.0001,200,0.0139
0.0531,0.0000,0.0000,0.0000,0.0530,0.0001,200,0.0141
0.0531,0.0000,0.0000,0.0000,0.0530,0.0000,200,0.0140
0.0555,0.0000,0.0000,0.0001,0.0553,0.0001,200,0.0121
0.0019,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0671
0.0027,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.0671
0.0027,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.0671
0.0027,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.0676
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.0689
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0698
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0698
0.0023,0.0000,0.0000,0.0000,0.0022,0.0001,200,0.0703
0.0023,0.0000,0.0000,0.0000,0.0022,0.0001,200,0.0712
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0717
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.0716
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.0726
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0735
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0737
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0738
0.0018,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.0745
0.0027,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.0753
0.0036,0.0000,0.0000,0.0000,0.0034,0.0001,200,0.0754
0.0031,0.0000,0.0000,0.0000,0.0029,0.0000,200,0.0764
0.0018,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.0780
0.0050,0.0000,0.0000,0.0000,0.0046,0.0004,200,0.0753
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0795
0.0022,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.0790
0.0016,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0798
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0803
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.0812
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0810
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.0814
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0820
0.0013,0.0000,0.0000,0.0000,0.0012,0.0000,200,0.0825
0.0012,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.0826
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.0827
0.0013,0.0000,0.0000,0.0001,0.0011,0.0001,200,0.0833
0.0015,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0845
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0846
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0846
0.0017,0.0000,0.0000,0.0001,0.0015,0.0001,200,0.0845
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.0865
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0865
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0865
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0865
0.0014,0.0000,0.0000,0.0001,0.0013,0.0000,200,0.0885
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0885
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0885
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0885
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0904
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0904
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0905
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0904
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0924
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0925
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0924
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0925
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0944
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0945
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0944
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0945
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0965
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0965
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0965
0.0016,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0965
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.0985
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0985
0.0018,0.0000,0.0000,0.0001,0.0016,0.0001,200,0.0984
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.0986
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.1005
0.0016,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1005
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1005
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1005
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1024
0.0016,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1024
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1025
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1025
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.1045
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1045
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1045
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1046
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.1064
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1065
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1065
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.1064
0.0030,0.0000,0.0000,0.0000,0.0028,0.0001,200,0.1084
0.0027,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.1089
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.1085
0.0033,0.0000,0.0000,0.0000,0.0030,0.0001,200,0.1084
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.1116
0.0016,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1117
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1117
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.1114
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.1131
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.1133
0.0016,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1133
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1135
0.0013,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.1146
0.0014,0.0000,0.0000,0.0000,0.0012,0.0001,200,0.1149
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1147
0.0014,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.1150
0.0016,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1164
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1164
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1165
0.0016,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1165
0.0016,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1186
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1186
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1185
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1185
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.1204
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1204
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1204
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1205
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1225
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1224
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1224
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1224
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1246
0.0018,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1245
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1247
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1245
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1264
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1264
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1265
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1264
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1285
0.0019,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1285
0.0020,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1285
0.0020,0.0000,0.0000,0.0001,0.0018,0.0001,200,0.1285
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1304
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1305
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1304
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1305
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1325
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1325
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1325
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1324
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1345
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1345
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1344
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1344
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1364
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1365
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1364
0.0018,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1365
0.0019,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1385
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.1384
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.1384
0.0021,0.0000,0.0000,0.0001,0.0019,0.0001,200,0.1384
0.0018,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1404
0.0025,0.0000,0.0000,0.0000,0.0023,0.0001,200,0.1405
0.0026,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.1405
0.0026,0.0000,0.0000,0.0000,0.0025,0.0001,200,0.1406
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.1424
0.0020,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1430
0.0020,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1431
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1432
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1446
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.1450
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1450
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1450
0.0015,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.1466
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1465
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1465
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1464
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1485
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1485
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.1485
0.0020,0.0000,0.0000,0.0001,0.0018,0.0000,200,0.1485
0.0016,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1505
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1505
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1505
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1505
0.0017,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1525
0.0026,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.1525
0.0026,0.0000,0.0000,0.0000,0.0025,0.0000,200,0.1525
0.0034,0.0000,0.0000,0.0000,0.0033,0.0001,200,0.1525
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1545
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1550
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1551
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1559
0.0016,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1565
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1567
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1567
0.0015,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1577
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1584
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1585
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.1584
